Station,Date_wthr,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,day_wthr,month_wthr,year_wthr,CodeSum_lb,Tmax:Tmin:Sunst,Tavg:WB,Hot_wet,DP:Tmin,P:sea:WB,T_diff,Dry,Dry_Wet_Diff,month_cat,DewPoint:Sunrise
1,2007-05-11,70.0,51.0,61.0,42,51.0,4.0,0.0,436.0,1860.0, ,0.0,0.0,0.0,29.33,30.04,11.3,3,12.9,11,5,2007,0,35340.0,3111.0,0.0,2142.0,49.794607190412776,0,0,1,1,18312.0
2,2007-05-11,73.0,49.0,61.0,44,51.0,4.0,0.0,436.0,1860.0, ,0.0,0.0,0.0,29.39,30.03,11.7,36,12.8,11,5,2007,0,44640.0,3111.0,0.0,2156.0,49.91308691308691,1,0,1,1,19184.0
1,2007-05-12,64.0,46.0,55.0,36,46.0,10.0,0.0,435.0,1901.0, ,0.0,0.0,0.0,29.49,30.2,12.4,3,12.9,12,5,2007,0,34218.0,2530.0,0.0,1656.0,44.91854304635761,0,0,1,1,15660.0
2,2007-05-12,65.0,47.0,56.0,37,46.0,9.0,0.0,435.0,1901.0, ,0.0,0.0,0.0,29.54,30.19,12.7,1,13.0,12,5,2007,0,34218.0,2576.0,0.0,1739.0,45.00960582974495,0,0,1,1,16095.0
1,2007-05-13,69.0,43.0,56.0,33,46.0,9.0,0.0,434.0,1902.0, ,0.0,0.0,0.0,29.49,30.24,6.6,14,8.1,13,5,2007,0,49452.0,2576.0,0.0,1419.0,44.85912698412698,1,0,1,1,14322.0
2,2007-05-13,69.0,44.0,57.0,32,46.0,8.0,0.0,434.0,1902.0, ,0.0,0.0,0.0,29.55,30.24,6.4,11,7.6,13,5,2007,0,47550.0,2622.0,0.0,1408.0,44.95039682539683,1,0,1,1,13888.0
1,2007-05-14,90.0,56.0,73.0,47,59.0,0.0,8.0,433.0,1903.0, ,0.0,0.0,0.0,29.23,29.97,16.9,21,17.3,14,5,2007,0,64702.0,4307.0,0.0,2632.0,57.54320987654321,1,1,1,1,20351.0
2,2007-05-14,90.0,54.0,72.0,45,58.0,0.0,7.0,433.0,1903.0, ,0.0,0.0,0.0,29.31,29.98,14.1,21,14.6,14,5,2007,0,68508.0,4176.0,0.0,2430.0,56.70380253502335,1,1,1,1,19485.0
1,2007-05-15,80.0,57.0,69.0,56,61.0,0.0,4.0,432.0,1904.0,RA BR,0.0,0.0,0.38,29.13,29.84,8.1,27,12.3,15,5,2007,25,43792.0,4209.0,30.4,3192.0,59.54859249329759,1,1,0,1,24192.0
2,2007-05-15,82.0,56.0,69.0,56,61.0,0.0,4.0,432.0,1904.0,TSRA RA BR,0.0,0.0,0.6,29.19,29.83,8.1,25,10.8,15,5,2007,84,49504.0,4209.0,49.199999999999996,3136.0,59.69125041904124,1,1,0,1,24192.0
1,2007-05-16,66.0,44.0,55.0,43,48.0,10.0,0.0,431.0,1905.0,RA BR,0.0,0.0,0.14,29.33,30.03,7.8,36,12.2,16,5,2007,25,41910.0,2640.0,9.24,1892.0,46.88111888111888,1,0,0,1,18533.0
2,2007-05-16,64.0,45.0,55.0,42,47.0,10.0,0.0,431.0,1905.0,RA BR,0.0,0.0,0.07,29.39,30.03,8.0,36,11.8,16,5,2007,25,36195.0,2585.0,4.48,1890.0,45.998334998335,0,0,0,1,18102.0
1,2007-05-17,62.0,43.0,53.0,32,43.0,12.0,0.0,430.0,1906.0, ,0.0,0.0,0.0,29.55,30.27,10.5,3,11.3,17,5,2007,0,36214.0,2279.0,0.0,1376.0,41.97720515361745,0,0,1,1,13760.0
2,2007-05-17,61.0,44.0,53.0,32,43.0,12.0,0.0,430.0,1906.0, ,0.0,0.0,0.0,29.62,30.27,11.7,1,12.2,17,5,2007,0,32402.0,2279.0,0.0,1408.0,42.07664354146019,0,0,1,1,13760.0
1,2007-05-18,71.0,42.0,57.0,30,46.0,8.0,0.0,429.0,1907.0, ,0.0,0.0,0.0,29.53,30.25,5.4,25,7.5,18,5,2007,0,55303.0,2622.0,0.0,1260.0,44.90512396694215,1,0,1,1,12870.0
2,2007-05-18,70.0,43.0,57.0,31,47.0,8.0,0.0,429.0,1907.0, ,0.0,0.0,0.0,29.6,30.26,3.4,22,5.5,18,5,2007,0,51489.0,2679.0,0.0,1333.0,45.97488433575678,1,0,1,1,13299.0
1,2007-05-19,80.0,56.0,68.0,39,53.0,0.0,3.0,428.0,1908.0, ,0.0,0.0,0.0,29.34,30.08,11.1,24,11.4,19,5,2007,0,45792.0,3604.0,0.0,2184.0,51.69614361702128,1,0,1,1,16692.0
2,2007-05-19,80.0,56.0,68.0,37,53.0,0.0,3.0,428.0,1908.0, ,0.0,0.0,0.0,29.41,30.08,11.1,23,11.4,19,5,2007,0,45792.0,3604.0,0.0,2072.0,51.81948138297873,1,0,1,1,15836.0
1,2007-05-20,69.0,43.0,56.0,40,44.0,9.0,0.0,427.0,1909.0,RA VCTS,0.0,0.0,0.07,29.38,30.11,10.4,4,10.7,20,5,2007,48,49634.0,2464.0,4.83,1720.0,42.93324476917967,1,0,0,1,17080.0
2,2007-05-20,69.0,44.0,57.0,41,45.0,8.0,0.0,427.0,1909.0,TSRA RA,0.0,0.0,0.11,29.44,30.11,8.6,3,9.7,20,5,2007,83,47725.0,2565.0,7.59,1804.0,43.998671537695124,1,0,0,1,17507.0
1,2007-05-21,80.0,44.0,62.0,50,56.0,3.0,0.0,426.0,1910.0, ,0.0,0.0,0.0,29.33,30.06,6.3,11,8.2,21,5,2007,0,68760.0,3472.0,0.0,2200.0,54.64005322687957,1,1,1,1,21300.0
2,2007-05-21,79.0,46.0,63.0,50,57.0,2.0,0.0,426.0,1910.0, ,0.0,0.0,0.0,29.39,30.05,6.3,10,7.8,21,5,2007,0,63030.0,3591.0,0.0,2300.0,55.748086522462565,1,1,1,1,21300.0
1,2007-05-22,87.0,55.0,71.0,46,58.0,0.0,6.0,425.0,1911.0, ,0.0,0.0,0.0,29.34,30.06,10.0,18,10.2,22,5,2007,0,61152.0,4118.0,0.0,2530.0,56.61077844311377,1,1,1,1,19550.0
2,2007-05-22,87.0,60.0,74.0,44,58.0,0.0,9.0,425.0,1911.0, ,0.0,0.0,0.0,29.41,30.05,10.1,16,10.6,22,5,2007,0,51597.0,4292.0,0.0,2640.0,56.76472545757071,1,1,1,1,18700.0
1,2007-05-23,89.0,60.0,75.0,49,61.0,0.0,10.0,425.0,1912.0, ,0.0,0.0,0.0,29.39,30.1,11.4,19,11.8,23,5,2007,0,55448.0,4575.0,0.0,2940.0,59.56112956810631,1,1,1,1,20825.0
2,2007-05-23,89.0,66.0,78.0,48,61.0,0.0,13.0,425.0,1912.0, ,0.0,0.0,0.0,29.47,30.1,10.9,18,11.2,23,5,2007,0,43976.0,4758.0,0.0,3168.0,59.72325581395348,1,1,1,1,20400.0
1,2007-05-24,88.0,63.0,76.0,54,63.0,0.0,11.0,424.0,1913.0,RA HZ,0.0,0.0,0.02,29.41,30.11,14.9,21,17.3,24,5,2007,45,47825.0,4788.0,1.76,3402.0,61.535370308867485,1,1,1,1,22896.0
2,2007-05-24,88.0,66.0,77.0,53,63.0,0.0,12.0,424.0,1913.0,RA HZ,0.0,0.0,0.01,29.47,30.1,13.8,20,15.2,24,5,2007,45,42086.0,4851.0,0.88,3498.0,61.6813953488372,1,1,1,1,22472.0
1,2007-05-25,70.0,56.0,63.0,44,53.0,2.0,0.0,423.0,1914.0, ,0.0,0.0,0.01,29.51,30.24,4.9,5,8.8,25,5,2007,0,26796.0,3339.0,0.7000000000000001,2464.0,51.72056878306879,0,0,1,1,18612.0
2,2007-05-25,66.0,57.0,62.0,46,53.0,3.0,0.0,423.0,1914.0,RA BR,0.0,0.0,0.09,29.57,30.23,4.5,5,8.2,25,5,2007,25,17226.0,3286.0,5.9399999999999995,2622.0,51.84287131988091,0,0,1,1,19458.0
1,2007-05-26,65.0,49.0,57.0,55,56.0,8.0,0.0,422.0,1915.0,TSRA RA BR HZ,0.0,0.0,1.01,29.36,30.11,2.8,17,7.2,26,5,2007,85,30640.0,3192.0,65.65,2695.0,54.6051145798738,0,1,0,1,23210.0
2,2007-05-26,70.0,50.0,60.0,55,57.0,5.0,0.0,422.0,1915.0,TSRA RA BR,0.0,0.0,0.28,29.42,30.1,2.5,15,7.8,26,5,2007,84,38300.0,3420.0,19.6,2750.0,55.71229235880399,0,1,0,1,23210.0
1,2007-05-27,75.0,57.0,66.0,47,56.0,0.0,1.0,422.0,1916.0,RA BR,0.0,0.0,0.04,29.34,30.06,8.9,26,9.5,27,5,2007,25,34488.0,3696.0,3.0,2679.0,54.65868263473054,0,1,1,1,19834.0
2,2007-05-27,75.0,59.0,67.0,49,57.0,0.0,2.0,422.0,1916.0,RA BR,0.0,0.0,0.08,29.41,30.05,8.2,24,9.2,27,5,2007,25,30656.0,3819.0,6.0,2891.0,55.78602329450915,0,1,1,1,20678.0
1,2007-05-28,79.0,50.0,65.0,47,56.0,0.0,0.0,421.0,1916.0,RA,0.0,0.0,0.01,29.43,30.15,4.8,10,5.3,28,5,2007,23,55564.0,3640.0,0.79,2350.0,54.66268656716419,1,1,1,1,19787.0
2,2007-05-28,76.0,54.0,65.0,49,57.0,0.0,0.0,421.0,1916.0, ,0.0,0.0,0.0,29.49,30.14,4.7,8,5.2,28,5,2007,0,42152.0,3705.0,0.0,2646.0,55.77073656270736,1,1,1,1,20629.0
1,2007-05-29,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,29,5,2007,3,53676.0,4810.0,0.0,3480.0,63.44569910328795,1,1,1,1,24418.0
2,2007-05-29,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,1917.0,BR HZ,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4,29,5,2007,3,44091.0,5082.0,0.0,3835.0,64.57427716849452,1,1,1,1,24839.0
1,2007-05-30,87.0,66.0,77.0,58,65.0,0.0,12.0,420.0,1918.0,HZ,0.0,0.0,0.0,29.31,30.04,10.3,19,10.6,30,5,2007,19,40278.0,5005.0,0.0,3828.0,63.42043941411451,0,1,1,1,24360.0
2,2007-05-30,89.0,70.0,80.0,57,66.0,0.0,15.0,420.0,1918.0,HZ,0.0,0.0,0.0,29.38,30.03,9.7,17,10.1,30,5,2007,19,36442.0,5280.0,0.0,3990.0,64.57142857142857,0,1,1,1,23940.0
1,2007-05-31,78.0,65.0,72.0,61,65.0,0.0,7.0,420.0,1919.0,RA HZ,0.0,0.0,0.01,29.28,30.0,9.3,19,9.9,31,5,2007,45,24947.0,4680.0,0.78,3965.0,63.440000000000005,0,1,0,1,25620.0
2,2007-05-31,80.0,68.0,74.0,61,66.0,0.0,9.0,420.0,1919.0,RA BR,0.0,0.0,0.53,29.34,29.99,8.9,18,9.2,31,5,2007,25,23028.0,4884.0,42.400000000000006,4148.0,64.56952317439146,0,1,0,1,25620.0
1,2007-06-01,85.0,62.0,74.0,63,66.0,0.0,9.0,419.0,1920.0,TSRA BR HZ,0.0,0.0,0.19,29.19,29.91,4.2,17,6.4,1,6,2007,74,44160.0,4884.0,16.15,3906.0,64.41123370110331,1,1,0,1,26397.0
2,2007-06-01,86.0,67.0,77.0,63,67.0,0.0,12.0,419.0,1920.0,TSRA BR HZ,0.0,0.0,0.21,29.25,29.9,4.7,16,5.8,1,6,2007,74,36480.0,5159.0,18.06,4221.0,65.54347826086956,0,1,0,1,26397.0
1,2007-06-02,81.0,65.0,73.0,63,67.0,0.0,8.0,419.0,1920.0,RA BR,0.0,0.0,0.04,29.03,29.77,6.5,22,7.4,2,6,2007,25,30720.0,4891.0,3.24,4095.0,65.33456499832046,0,1,0,1,26397.0
2,2007-06-02,81.0,68.0,75.0,62,67.0,0.0,10.0,419.0,1920.0,RA BR,0.0,0.0,0.01,29.1,29.76,7.5,21,8.2,2,6,2007,25,24960.0,5025.0,0.81,4216.0,65.51411290322581,0,1,0,1,25978.0
1,2007-06-03,78.0,62.0,70.0,60,63.0,0.0,5.0,418.0,1921.0,TSRA RA BR HZ,0.0,0.0,0.01,28.82,29.56,5.2,25,6.7,3,6,2007,85,30736.0,4410.0,0.78,3720.0,61.42286874154263,0,1,0,1,25080.0
2,2007-06-03,77.0,64.0,71.0,60,64.0,0.0,6.0,418.0,1921.0,RA BR HZ VCTS,0.0,0.0,0.32,28.87,29.54,4.9,24,7.2,3,6,2007,30,24973.0,4544.0,24.64,3840.0,62.54840893703453,0,1,0,1,25080.0
1,2007-06-04,71.0,58.0,65.0,58,60.0,0.0,0.0,418.0,1922.0,TSRA RA BR,0.0,0.0,0.39,28.82,29.52,7.8,31,9.7,4,6,2007,84,24986.0,3900.0,27.69,3364.0,58.577235772357724,0,1,0,1,24244.0
2,2007-06-04,72.0,56.0,64.0,57,60.0,1.0,0.0,418.0,1922.0,RA BR,0.0,0.0,0.31,28.88,29.51,7.9,30,10.1,4,6,2007,25,30752.0,3840.0,22.32,3192.0,58.71907827854964,0,1,0,1,23826.0
1,2007-06-05,64.0,47.0,56.0,48,51.0,9.0,0.0,417.0,1923.0,RA BR,0.0,0.0,0.42,29.1,29.79,5.2,5,7.6,5,6,2007,25,32691.0,2856.0,26.88,2256.0,49.81873111782478,0,0,0,1,20016.0
2,2007-06-05,63.0,51.0,57.0,47,52.0,8.0,0.0,417.0,1923.0,RA BR,0.0,0.0,0.27,29.16,29.78,6.2,3,8.1,5,6,2007,25,23076.0,2964.0,17.01,2397.0,50.917394224311614,0,0,0,1,19599.0
1,2007-06-06,71.0,44.0,58.0,48,55.0,7.0,0.0,417.0,1923.0,RA,0.0,0.0,0.01,29.07,29.81,10.8,17,11.4,6,6,2007,23,51921.0,3190.0,0.71,2112.0,53.634686346863475,1,1,1,1,20016.0
2,2007-06-06,73.0,48.0,61.0,47,55.0,4.0,0.0,417.0,1923.0,RA,0.0,0.0,0.01,29.13,29.82,9.6,15,10.6,6,6,2007,23,48075.0,3355.0,0.73,2256.0,53.72736418511066,1,1,1,1,19599.0
1,2007-06-07,91.0,71.0,81.0,62,69.0,0.0,16.0,417.0,1924.0, ,0.0,0.0,0.0,28.84,29.55,22.7,20,23.1,7,6,2007,0,38480.0,5589.0,0.0,4402.0,67.34213197969542,0,1,1,1,25854.0
2,2007-06-07,92.0,71.0,82.0,61,68.0,0.0,17.0,417.0,1924.0, ,0.0,0.0,0.0,28.91,29.55,20.3,19,20.7,7,6,2007,0,40404.0,5576.0,0.0,4331.0,66.52724196277497,0,1,1,1,25437.0
1,2007-06-08,81.0,57.0,69.0,53,61.0,0.0,4.0,417.0,1925.0, ,0.0,0.0,0.0,29.18,29.85,10.9,28,13.8,8,6,2007,0,46200.0,4209.0,0.0,3021.0,59.63082077051926,1,1,1,1,22101.0
2,2007-06-08,81.0,63.0,72.0,54,62.0,0.0,7.0,417.0,1925.0, ,0.0,0.0,0.0,29.24,29.83,9.3,26,12.4,8,6,2007,0,34650.0,4464.0,0.0,3402.0,60.77371773382501,0,1,1,1,22518.0
1,2007-06-09,79.0,52.0,66.0,47,57.0,0.0,1.0,416.0,1925.0, ,0.0,0.0,0.0,29.36,30.07,0.3,33,5.0,9,6,2007,0,51975.0,3762.0,0.0,2444.0,55.65414033920851,1,1,1,1,19552.0
2,2007-06-09,79.0,57.0,68.0,49,58.0,0.0,3.0,416.0,1925.0, ,0.0,0.0,0.0,29.42,30.05,2.4,19,4.7,9,6,2007,0,42350.0,3944.0,0.0,2793.0,56.784026622296174,1,1,1,1,20384.0
1,2007-06-10,81.0,55.0,68.0,51,59.0,0.0,3.0,416.0,1926.0, ,0.0,0.0,0.0,29.34,30.05,4.8,17,5.6,10,6,2007,0,50076.0,4012.0,0.0,2805.0,57.605990016638934,1,1,1,1,21216.0
2,2007-06-10,81.0,61.0,71.0,50,60.0,0.0,6.0,416.0,1926.0, ,0.0,0.0,0.0,29.39,30.04,4.6,16,5.8,10,6,2007,0,38520.0,4260.0,0.0,3050.0,58.7017310252996,0,1,1,1,20800.0
1,2007-06-11,86.0,58.0,72.0,52,61.0,0.0,7.0,416.0,1926.0, ,0.0,0.0,0.0,29.41,30.11,4.9,11,6.9,11,6,2007,0,53928.0,4392.0,0.0,3016.0,59.581866489538356,1,1,1,1,21632.0
2,2007-06-11,85.0,65.0,75.0,51,61.0,0.0,10.0,416.0,1926.0, ,0.0,0.0,0.0,29.47,30.09,6.6,9,8.4,11,6,2007,0,38520.0,4575.0,0.0,3315.0,59.743104021269524,0,1,1,1,21216.0
1,2007-06-12,83.0,62.0,73.0,50,60.0,0.0,8.0,416.0,1927.0, ,0.0,0.0,0.0,29.44,30.16,8.3,5,8.8,12,6,2007,0,40467.0,4380.0,0.0,3100.0,58.56763925729443,0,1,1,1,20800.0
2,2007-06-12,82.0,66.0,74.0,51,61.0,0.0,9.0,416.0,1927.0, ,0.0,0.0,0.0,29.49,30.14,9.4,5,10.0,12,6,2007,0,30832.0,4514.0,0.0,3366.0,59.68447246184472,0,1,1,1,21216.0
1,2007-06-13,87.0,60.0,74.0,53,62.0,0.0,9.0,416.0,1927.0, ,0.0,0.0,0.0,29.36,30.09,7.2,5,8.6,13,6,2007,0,52029.0,4588.0,0.0,3180.0,60.4958457959455,1,1,1,1,22048.0
2,2007-06-13,86.0,68.0,77.0,53,62.0,0.0,12.0,416.0,1927.0, ,0.0,0.0,0.0,29.28,29.97,7.0,5,8.1,13,6,2007,0,34686.0,4774.0,0.0,3604.0,60.572572572572575,0,1,1,1,22048.0
1,2007-06-14,89.0,64.0,77.0,55,64.0,0.0,12.0,416.0,1928.0, ,0.0,0.0,0.0,29.3,30.02,5.6,5,6.8,14,6,2007,0,48200.0,4928.0,0.0,3520.0,62.465023317788145,1,1,1,1,22880.0
2,2007-06-14,89.0,68.0,79.0,54,63.0,0.0,14.0,416.0,1928.0, ,0.0,0.0,0.0,29.36,30.0,5.9,7,6.4,14,6,2007,0,40488.0,4977.0,0.0,3672.0,61.656,0,1,1,1,22464.0
1,2007-06-15,91.0,63.0,77.0,56,64.0,0.0,12.0,416.0,1928.0, ,0.0,0.0,0.0,29.28,29.99,4.1,6,4.9,15,6,2007,0,53984.0,4928.0,0.0,3528.0,62.48482827609204,1,1,1,1,23296.0
2,2007-06-15,89.0,67.0,78.0,56,65.0,0.0,13.0,416.0,1928.0, ,0.0,0.0,0.0,29.34,29.97,3.8,9,4.1,15,6,2007,0,42416.0,5070.0,0.0,3752.0,63.633633633633636,1,1,1,1,23296.0
1,2007-06-16,93.0,66.0,80.0,60,67.0,0.0,15.0,416.0,1929.0,RA HZ,0.0,0.0,0.01,29.26,29.97,4.8,28,5.8,16,6,2007,45,52083.0,5360.0,0.93,3960.0,65.41274607941276,1,1,1,1,24960.0
2,2007-06-16,92.0,68.0,80.0,61,68.0,0.0,15.0,416.0,1929.0,HZ,0.0,0.0,0.01,29.33,29.96,2.1,22,6.1,16,6,2007,19,46296.0,5440.0,0.92,4148.0,66.57009345794393,1,1,1,1,25376.0
1,2007-06-17,91.0,70.0,81.0,64,70.0,0.0,16.0,416.0,1929.0,HZ,0.0,0.0,0.0,29.23,29.95,2.8,11,6.3,17,6,2007,19,40509.0,5670.0,0.0,4480.0,68.31719532554257,0,1,1,1,26624.0
2,2007-06-17,91.0,71.0,81.0,65,70.0,0.0,16.0,416.0,1929.0,HZ,0.0,0.0,0.16,29.28,29.93,4.0,11,6.1,17,6,2007,19,38580.0,5670.0,14.56,4615.0,68.4797861677247,0,1,0,1,27040.0
1,2007-06-18,89.0,69.0,79.0,65,70.0,0.0,14.0,416.0,1929.0,TSRA RA HZ,0.0,0.0,0.28,29.12,29.84,14.0,20,15.1,18,6,2007,94,38580.0,5530.0,24.92,4485.0,68.31099195710456,0,1,0,1,27040.0
2,2007-06-18,89.0,73.0,81.0,65,70.0,0.0,16.0,416.0,1929.0,TSRA RA HZ,0.0,0.0,0.02,29.19,29.83,12.2,20,12.6,18,6,2007,94,30864.0,5670.0,1.78,4745.0,68.4981562185719,0,1,0,1,27040.0
1,2007-06-19,80.0,65.0,73.0,55,63.0,0.0,8.0,416.0,1930.0,RA,0.0,0.0,0.58,29.26,29.95,10.7,28,11.4,19,6,2007,23,28950.0,4599.0,46.4,3575.0,61.548580968280476,0,1,1,1,22880.0
2,2007-06-19,81.0,65.0,73.0,55,63.0,0.0,8.0,416.0,1930.0,RA BR,0.0,0.0,0.93,29.31,29.93,10.1,29,11.3,19,6,2007,25,30880.0,4599.0,75.33,3575.0,61.694954894754424,0,1,1,1,22880.0
1,2007-06-20,84.0,61.0,73.0,52,61.0,0.0,8.0,416.0,1930.0, ,0.0,0.0,0.0,29.39,30.1,7.8,27,8.8,20,6,2007,0,44390.0,4453.0,0.0,3172.0,59.56112956810631,1,1,1,1,21632.0
2,2007-06-20,85.0,62.0,74.0,50,61.0,0.0,9.0,416.0,1930.0, ,0.0,0.0,0.0,29.46,30.09,5.9,28,7.7,20,6,2007,0,44390.0,4514.0,0.0,3100.0,59.722831505483555,1,1,1,1,20800.0
1,2007-06-21,77.0,61.0,69.0,51,60.0,0.0,4.0,416.0,1930.0,RA,0.0,0.0,0.01,29.36,30.08,3.5,3,10.7,21,6,2007,23,30880.0,4140.0,0.77,3111.0,58.56382978723404,0,1,1,1,21216.0
2,2007-06-21,80.0,66.0,73.0,51,61.0,0.0,8.0,416.0,1930.0,RA,0.0,0.0,0.01,29.41,30.06,3.7,2,9.6,21,6,2007,23,27020.0,4453.0,0.8,3366.0,59.68097139055224,0,1,1,1,21216.0
1,2007-06-22,76.0,61.0,69.0,50,58.0,0.0,4.0,417.0,1931.0,RA,0.0,0.0,0.01,29.33,30.06,7.8,6,8.7,22,6,2007,23,28965.0,4002.0,0.76,3050.0,56.59148369926813,0,1,1,1,20850.0
2,2007-06-22,75.0,62.0,69.0,49,58.0,0.0,4.0,417.0,1931.0,RA,0.0,0.0,0.01,29.39,30.05,6.5,7,8.1,22,6,2007,23,25103.0,4002.0,0.75,3038.0,56.7261231281198,0,1,1,1,20433.0
