Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,CodeSum_lb
1,70.0,56.0,63.0,55,59.0,2.0,0.0,419.0,419.0,0.0,0.0,0.0,29.41,30.13,7.6,2,8.3,0
2,71.0,56.0,64.0,56,60.0,1.0,0.0,419.0,419.0,0.0,0.0,0.0,29.47,30.11,7.4,2,8.2,0
1,79.0,54.0,67.0,46,56.0,0.0,2.0,419.0,419.0,0.0,0.0,0.0,29.41,30.13,4.9,3,5.8,0
2,77.0,58.0,68.0,49,58.0,0.0,3.0,419.0,419.0,0.0,0.0,0.0,29.46,30.11,5.1,4,6.2,0
1,75.0,54.0,65.0,52,58.0,0.0,0.0,420.0,420.0,0.0,0.0,0.0,29.51,30.23,8.6,4,8.6,0
2,76.0,61.0,69.0,51,59.0,0.0,4.0,420.0,420.0,0.0,0.0,0.0,29.56,30.21,9.5,4,9.7,0
1,79.0,53.0,66.0,50,58.0,0.0,1.0,420.0,420.0,0.0,0.0,0.0,29.49,30.22,5.9,14,8.1,0
2,77.0,58.0,68.0,50,59.0,0.0,3.0,420.0,420.0,0.0,0.0,0.0,29.55,30.21,7.4,12,8.5,0
1,83.0,60.0,72.0,57,63.0,0.0,7.0,421.0,421.0,0.0,0.0,0.4,29.31,30.06,6.7,21,7.3,84
2,83.0,63.0,73.0,56,63.0,0.0,8.0,421.0,421.0,0.0,0.0,0.09,29.38,30.05,6.4,21,7.4,83
1,86.0,67.0,77.0,65,69.0,0.0,12.0,422.0,422.0,0.0,0.0,0.16,29.18,29.9,4.6,27,8.2,75
2,84.0,67.0,76.0,65,69.0,0.0,11.0,422.0,422.0,0.0,0.0,0.66,29.23,29.88,3.1,25,8.8,95
1,89.0,71.0,80.0,60,67.0,0.0,15.0,422.0,422.0,0.0,0.0,0.0,29.24,29.94,6.4,31,8.1,4
2,88.0,70.0,79.0,60,67.0,0.0,14.0,422.0,422.0,0.0,0.0,0.0,29.29,29.92,4.3,33,6.9,2
1,86.0,66.0,76.0,57,64.0,0.0,11.0,423.0,423.0,0.0,0.0,0.0,29.32,30.03,3.2,5,5.5,0
2,84.0,68.0,76.0,57,65.0,0.0,11.0,423.0,423.0,0.0,0.0,0.0,29.38,30.01,3.3,7,5.5,0
1,90.0,64.0,77.0,63,69.0,0.0,12.0,423.0,423.0,0.0,0.0,0.0,29.18,29.91,8.4,22,8.6,0
2,88.0,68.0,78.0,62,68.0,0.0,13.0,423.0,423.0,0.0,0.0,0.0,29.24,29.9,7.4,23,8.1,0
1,94.0,75.0,85.0,67,72.0,0.0,20.0,424.0,424.0,0.0,0.0,0.0,29.05,29.77,12.9,24,13.1,0
2,93.0,75.0,84.0,67,72.0,0.0,19.0,424.0,424.0,0.0,0.0,0.0,29.12,29.76,12.6,23,12.7,0
1,94.0,70.0,82.0,66,70.0,0.0,17.0,425.0,425.0,0.0,0.0,0.3,29.11,29.8,4.9,24,8.8,96
2,93.0,72.0,83.0,67,71.0,0.0,18.0,425.0,425.0,0.0,0.0,0.24,29.16,29.79,4.8,23,8.8,23
1,89.0,69.0,79.0,67,70.0,0.0,14.0,425.0,425.0,0.0,0.0,0.43,29.06,29.77,8.6,23,10.5,21
2,89.0,70.0,80.0,67,71.0,0.0,15.0,425.0,425.0,0.0,0.0,0.08,29.13,29.76,8.2,23,10.2,82
1,77.0,62.0,70.0,51,59.0,0.0,5.0,426.0,426.0,0.0,0.0,0.0,29.23,29.93,8.8,30,10.9,0
2,77.0,63.0,70.0,51,59.0,0.0,5.0,426.0,426.0,0.0,0.0,0.0,29.28,29.92,9.1,30,11.2,0
1,80.0,61.0,71.0,51,59.0,0.0,6.0,427.0,427.0,0.0,0.0,0.0,29.22,29.93,9.4,29,11.1,0
2,80.0,60.0,70.0,51,60.0,0.0,5.0,427.0,427.0,0.0,0.0,0.0,29.28,29.92,10.0,28,11.4,97
1,78.0,58.0,68.0,52,58.0,0.0,3.0,428.0,428.0,0.0,0.0,0.0,29.26,29.98,1.4,1,5.3,0
2,74.0,59.0,67.0,53,59.0,0.0,2.0,428.0,428.0,0.0,0.0,0.0,29.33,29.98,2.0,7,5.8,0
1,84.0,61.0,73.0,55,62.0,0.0,8.0,428.0,428.0,0.0,0.0,0.0,29.08,29.79,8.3,26,13.2,0
2,85.0,62.0,74.0,55,62.0,0.0,9.0,428.0,428.0,0.0,0.0,0.0,29.14,29.79,8.4,25,13.9,0
1,82.0,60.0,71.0,53,61.0,0.0,6.0,429.0,429.0,0.0,0.0,0.0,29.19,29.89,2.1,29,4.9,0
2,80.0,64.0,72.0,52,61.0,0.0,7.0,429.0,429.0,0.0,0.0,0.0,29.25,29.88,1.2,9,6.5,0
1,82.0,65.0,74.0,60,65.0,0.0,9.0,430.0,430.0,0.0,0.0,0.39,29.25,29.96,4.4,24,5.2,25
2,82.0,66.0,74.0,60,65.0,0.0,9.0,430.0,430.0,0.0,0.0,0.07,29.31,29.94,5.6,23,6.6,83
1,83.0,68.0,76.0,66,69.0,0.0,11.0,431.0,431.0,0.0,0.0,0.11,29.18,29.9,5.2,23,6.5,33
2,83.0,69.0,76.0,65,69.0,0.0,11.0,431.0,431.0,0.0,0.0,0.11,29.24,29.89,6.3,23,7.4,25
1,85.0,69.0,77.0,68,71.0,0.0,12.0,432.0,432.0,0.0,0.0,1.55,29.11,29.84,9.1,24,10.1,87
2,85.0,69.0,77.0,69,71.0,0.0,12.0,432.0,432.0,0.0,0.0,0.92,29.18,29.83,10.3,24,10.6,65
1,83.0,63.0,73.0,63,66.0,0.0,8.0,433.0,433.0,0.0,0.0,0.16,29.21,29.9,7.0,1,11.9,8
2,82.0,63.0,73.0,62,66.0,0.0,8.0,433.0,433.0,0.0,0.0,0.01,29.26,29.88,7.7,36,14.4,3
1,75.0,58.0,67.0,53,59.0,0.0,2.0,433.0,433.0,0.0,0.0,0.0,29.44,30.14,8.6,3,9.1,0
2,74.0,62.0,68.0,52,59.0,0.0,3.0,433.0,433.0,0.0,0.0,0.0,29.49,30.12,11.3,4,11.5,0
1,74.0,58.0,66.0,52,58.0,0.0,1.0,434.0,434.0,0.0,0.0,0.0,29.51,30.22,6.5,3,7.4,0
2,75.0,58.0,67.0,52,59.0,0.0,2.0,434.0,434.0,0.0,0.0,0.0,29.57,30.21,5.8,4,7.4,0
1,81.0,58.0,70.0,55,61.0,0.0,5.0,435.0,435.0,0.0,0.0,0.0,29.49,30.21,1.7,16,3.3,0
2,81.0,61.0,71.0,54,61.0,0.0,6.0,435.0,435.0,0.0,0.0,0.0,29.54,30.2,1.9,18,3.5,0
1,83.0,60.0,72.0,55,63.0,0.0,7.0,436.0,436.0,0.0,0.0,0.0,29.37,30.1,3.2,9,4.0,0
2,82.0,63.0,73.0,55,63.0,0.0,8.0,436.0,436.0,0.0,0.0,0.0,29.42,30.09,2.9,12,3.9,0
1,82.0,65.0,74.0,58,64.0,0.0,9.0,437.0,437.0,0.0,0.0,0.0,29.32,30.04,3.1,20,5.2,0
2,82.0,65.0,74.0,57,64.0,0.0,9.0,437.0,437.0,0.0,0.0,0.01,29.38,30.03,1.1,21,4.9,0
1,85.0,71.0,78.0,61,67.0,0.0,13.0,438.0,438.0,0.0,0.0,0.01,29.29,30.0,5.8,25,6.6,0
2,83.0,70.0,77.0,60,66.0,0.0,12.0,438.0,438.0,0.0,0.0,0.0,29.35,29.99,6.4,23,7.0,0
1,83.0,66.0,75.0,65,68.0,0.0,10.0,439.0,439.0,0.0,0.0,0.19,29.19,29.92,7.2,22,9.4,64
2,84.0,64.0,74.0,65,68.0,0.0,9.0,439.0,439.0,0.0,0.0,0.89,29.25,29.91,7.2,22,9.9,59
1,83.0,70.0,77.0,68,70.0,0.0,12.0,440.0,440.0,0.0,0.0,0.17,29.11,29.82,3.0,3,7.9,27
2,83.0,70.0,77.0,67,70.0,0.0,12.0,440.0,440.0,0.0,0.0,0.04,29.16,29.8,1.2,36,8.1,27
1,80.0,66.0,73.0,65,68.0,0.0,8.0,441.0,441.0,0.0,0.0,0.0,29.23,29.93,10.0,3,10.2,3
2,80.0,70.0,75.0,65,68.0,0.0,10.0,441.0,441.0,0.0,0.0,0.0,29.28,29.91,10.6,3,10.7,3
1,85.0,63.0,74.0,57,64.0,0.0,9.0,442.0,442.0,0.0,0.0,0.0,29.28,29.99,4.8,5,5.7,0
2,85.0,67.0,76.0,56,64.0,0.0,11.0,442.0,442.0,0.0,0.0,0.0,29.34,29.97,6.3,5,6.9,0
1,89.0,62.0,76.0,55,64.0,0.0,11.0,443.0,443.0,0.0,0.0,0.0,29.33,30.03,3.8,6,4.3,0
2,86.0,65.0,76.0,57,65.0,0.0,11.0,443.0,443.0,0.0,0.0,0.0,29.39,30.01,3.1,6,4.6,0
1,91.0,68.0,80.0,61,68.0,0.0,15.0,444.0,444.0,0.0,0.0,0.0,29.33,30.04,3.3,4,4.9,0
2,89.0,69.0,79.0,60,68.0,0.0,14.0,444.0,444.0,0.0,0.0,0.0,29.39,30.02,4.0,7,5.0,0
1,92.0,69.0,81.0,62,69.0,0.0,16.0,445.0,445.0,0.0,0.0,0.0,29.29,30.0,3.5,9,4.1,19
2,91.0,69.0,80.0,63,70.0,0.0,15.0,445.0,445.0,0.0,0.0,0.0,29.34,29.98,2.1,13,3.7,0
1,91.0,70.0,81.0,66,71.0,0.0,16.0,446.0,446.0,0.0,0.0,0.0,29.26,29.97,5.5,26,5.9,19
2,91.0,73.0,82.0,66,72.0,0.0,17.0,446.0,446.0,0.0,0.0,0.0,29.31,29.95,6.5,23,7.2,0
1,90.0,69.0,80.0,56,66.0,0.0,15.0,447.0,447.0,0.0,0.0,0.0,29.31,30.02,2.7,3,5.7,0
2,88.0,73.0,81.0,58,67.0,0.0,16.0,447.0,447.0,0.0,0.0,0.0,29.36,30.0,3.3,6,5.8,0
1,81.0,64.0,73.0,58,64.0,0.0,8.0,448.0,448.0,0.0,0.0,0.03,29.31,30.03,5.7,8,6.1,23
2,81.0,68.0,75.0,58,65.0,0.0,10.0,448.0,448.0,0.0,0.0,0.02,29.36,30.01,5.9,9,6.6,23
1,88.0,67.0,78.0,71,73.0,0.0,13.0,449.0,449.0,0.0,0.0,1.43,29.08,29.81,5.4,21,9.6,85
2,88.0,68.0,78.0,71,72.0,0.0,13.0,449.0,449.0,0.0,0.0,0.97,29.15,29.79,7.0,22,10.2,87
1,88.0,74.0,81.0,72,74.0,0.0,16.0,450.0,450.0,0.0,0.0,0.26,29.13,29.83,1.6,10,4.9,85
2,85.0,75.0,80.0,72,74.0,0.0,15.0,450.0,450.0,0.0,0.0,0.05,29.17,29.81,2.6,10,4.6,59
1,91.0,72.0,82.0,73,76.0,0.0,17.0,451.0,451.0,0.0,0.0,1.31,29.06,29.76,6.2,25,9.0,25
2,92.0,73.0,83.0,73,76.0,0.0,18.0,451.0,451.0,0.0,0.0,0.06,29.11,29.74,6.3,24,8.8,97
1,87.0,73.0,80.0,71,73.0,0.0,15.0,452.0,452.0,0.0,0.0,0.06,29.13,29.83,3.0,3,6.9,84
2,87.0,74.0,81.0,72,74.0,0.0,16.0,452.0,452.0,0.0,0.0,0.09,29.18,29.81,1.5,4,6.4,89
1,84.0,72.0,78.0,71,73.0,0.0,13.0,453.0,453.0,0.0,0.0,0.05,29.13,29.84,2.5,29,6.0,83
2,85.0,73.0,79.0,71,73.0,0.0,14.0,453.0,453.0,0.0,0.0,0.46,29.19,29.82,3.1,27,6.3,74
